P,RT,G,by
0.873015873,0.420570716,q1,q
0.815384615,0.587689229,q1,q
0.796610169,0.361855152,q1,q
0.810344828,0.649908223,q1,q
0.719298246,0.674578318,q1,q
0.873015873,0.463108739,q3,q
0.815384615,0.753277728,q3,q
0.796610169,0.46509668,q3,q
0.810344828,0.770442228,q3,q
0.719298246,0.784030379,q3,q
0.873015873,0.599948289,q5,q
0.815384615,0.991541106,q5,q
0.796610169,0.506386106,q5,q
0.810344828,1.029096321,q5,q
0.719298246,0.960219239,q5,q
0.873015873,0.776269781,q7,q
0.815384615,1.299900525,q7,q
0.796610169,0.648736516,q7,q
0.810344828,1.447103197,q7,q
0.719298246,1.065440076,q7,q
0.873015873,1.388851739,q9,q
0.815384615,1.550324674,q9,q
0.796610169,0.859429474,q9,q
0.810344828,1.971135392,q9,q
0.719298246,1.313324859,q9,q
0.126984127,0.396650232,q1,Q
0.184615385,0.654529844,q1,Q
0.203389831,0.484748029,q1,Q
0.189655172,0.699416968,q1,Q
0.280701754,0.484840781,q1,Q
0.126984127,0.426614587,q3,Q
0.184615385,0.696126806,q3,Q
0.203389831,0.506655319,q3,Q
0.189655172,1.139790125,q3,Q
0.280701754,0.519412547,q3,Q
0.126984127,0.73735587,q5,Q
0.184615385,0.834112288,q5,Q
0.203389831,0.529392353,q5,Q
0.189655172,1.291040346,q5,Q
0.280701754,0.582878527,q5,Q
0.126984127,0.753774311,q7,Q
0.184615385,0.876073595,q7,Q
0.203389831,1.080256597,q7,Q
0.189655172,1.359597239,q7,Q
0.280701754,0.912009979,q7,Q
0.126984127,1.89219756,q9,Q
0.184615385,1.178178746,q9,Q
0.203389831,1.416432717,q9,Q
0.189655172,1.715109311,q9,Q
0.280701754,1.25523564,q9,Q
