P,RT,G,by,
0.653846154,0.494168499,q1,q,
0.53968254,0.646314505,q1,q,
0.476923077,0.387720107,q1,q,
0.704918033,0.761570041,q1,q,
0.591836735,0.672425009,q1,q,
0.653846154,0.638114167,q3,q,
0.53968254,0.717224106,q3,q,
0.476923077,0.463079163,q3,q,
0.704918033,0.930136857,q3,q,
0.591836735,0.813238806,q3,q,
0.653846154,0.779692971,q5,q,
0.53968254,0.99893499,q5,q,
0.476923077,0.526978122,q5,q,
0.704918033,1.151811936,q5,q,
0.591836735,0.876439915,q5,q,
0.653846154,1.035219535,q7,q,
0.53968254,1.178311774,q7,q,
0.476923077,0.715375366,q7,q,
0.704918033,1.704545042,q7,q,
0.591836735,1.220320845,q7,q,
0.653846154,1.964456383,q9,q,
0.53968254,1.566021529,q9,q,
0.476923077,0.944469532,q9,q,
0.704918033,1.980974708,q9,q,
0.591836735,1.707873099,q9,q,
0.346153846,0.74182078,q1,Q,
0.46031746,0.649092689,q1,Q,
0.523076923,0.429285457,q1,Q,
0.295081967,0.879151088,q1,Q,
0.408163265,0.617792927,q1,Q,
0.346153846,0.950813363,q3,Q,
0.46031746,0.815352247,q3,Q,
0.523076923,0.486528702,q3,Q,
0.295081967,0.98644936,q3,Q,
0.408163265,0.74036774,q3,Q,
0.346153846,1.103525033,q5,Q,
0.46031746,1.080145738,q5,Q,
0.523076923,0.63301362,q5,Q,
0.295081967,1.427539859,q5,Q,
0.408163265,0.809037583,q5,Q,
0.346153846,1.32266363,q7,Q,
0.46031746,1.415038823,q7,Q,
0.523076923,0.693112416,q7,Q,
0.295081967,1.507588485,q7,Q,
0.408163265,0.86337361,q7,Q,
0.346153846,1.684418409,q9,Q,
0.46031746,1.893692837,q9,Q,
0.523076923,1.010935882,q9,Q,
0.295081967,2.108662494,q9,Q,
0.408163265,1.009334428,q9,Q,
